,MAC,Imag,Real
0,767.12953118,1.0589894143178398,1.4
10,792.8204781428999,0.9703310938202204,1.4
20,827.6862277085,0.8773365638230375,1.4
30,872.4066251591,0.7305232889216263,1.4
40,900.4273057382001,0.637954917441742,1.4
50,871.6848723884,0.522982519404167,1.4
60,851.7388860894,0.40703263660255656,1.4
70,871.856101719,0.323813834657344,1.4
80,928.5984389357001,0.25575435105033345,1.4
90,975.5195714224001,0.20616136188414103,1.4
100,968.4488181897,0.17691041135167013,1.4
110,946.8448748771001,0.16719537820996952,1.4
120,944.7620421748,0.1669397541899479,1.4
130,920.7047306002,0.1595769123780966,1.4
140,816.4927829528999,0.14756630970219825,1.4
150,710.7783529809,0.1286971055791615,1.4
160,616.5852280883,0.11405728575185133,1.4
170,543.9611435367,0.09862354355473461,1.4
180,488.3904480457,0.0783140058015663,1.4
190,438.9873989033,0.06203417433517005,1.4
200,400.91188374029997,0.043891917822786244,1.4
210,373.2186684407,0.022363745234131278,1.4
220,355.7781222872,0.006361475369128146,1.4
230,332.5159507291,0.0016838747779102244,1.4
240,321.61156963689996,0.001306099101562416,1.4
250,298.6621935967,0.0012781397903467388,1.4
260,279.96931070150004,0.001336395943453743,1.4
270,262.4520134609,0.0014706655038078003,1.4
280,240.33571921450002,0.0018866833203102656,1.4
290,218.5094195318,0.0023887901214658673,1.4
300,195.241785413,0.00274678846940564,1.4
310,169.9634941573,0.002727662638538265,1.4
320,150.25986907,0.003300708877144837,1.4
330,131.6575471716,0.003715719246969709,1.4
340,115.31661092370001,0.0052740177198226015,1.4
350,99.92658344549999,0.008688586806166698,1.4
360,89.6716658916,0.007819368450408717,1.4
370,90.5985358124,0.011117586036761783,1.4
380,78.6197987164,0.008972623575985005,1.4
390,56.0806698251,0.002591564834730198,1.4
400,39.7135495135,0.0004191799103652015,1.4
410,33.052719292,0.0001833800923673266,1.4
420,20.9532397598,9.064836825428051e-05,1.4
430,13.9775062502,4.360795580633209e-05,1.4
440,9.4524400157,1.2726590271266757e-06,1.4
450,0.441448757,1.3279547436559676e-06,1.4
460,1e-07,1.3392970779355309e-06,1.4
470,1e-07,1.2676369676424053e-06,1.4
480,1e-07,1.1682209585226076e-06,1.4
490,1e-07,1.1059651131408909e-06,1.4
500,1e-07,1.1281399493630987e-06,1.4
510,1e-07,1.3110541091972963e-06,1.4
520,1e-07,1.6978594976502242e-06,1.4
530,1e-07,2.040504166312914e-06,1.4
540,1e-07,2.4919252793271086e-06,1.4
550,1e-07,2.9656809013899696e-06,1.4
560,1e-07,3.37584310891434e-06,1.4
570,1e-07,3.7591361296317e-06,1.4
580,1e-07,4.112802850451456e-06,1.4
590,1e-07,4.521355548283215e-06,1.4
600,1e-07,5.063910069253683e-06,1.4
610,1e-07,6.913705621377373e-06,1.4
620,1e-07,1.094488549801745e-05,1.4
630,1e-07,1.7804158519398546e-05,1.4
640,1e-07,2.7060827338857317e-05,1.4
650,1e-07,3.3280368359910635e-05,1.4
660,1e-07,3.635954919050482e-05,1.4
670,1e-07,3.701157968510619e-05,1.4
680,1e-07,3.5679820398905354e-05,1.4
690,1e-07,3.40593748870843e-05,1.4
700,1e-07,3.0918881113880694e-05,1.4
710,1e-07,2.7866631035345404e-05,1.4
720,1e-07,2.4514606610530324e-05,1.4
730,1e-07,2.06415397835927e-05,1.4
740,1e-07,1.7515994122191275e-05,1.4
750,1e-07,1.5323680692817354e-05,1.4
760,1e-07,1.4593314542882103e-05,1.4
770,1e-07,1.4988223092919087e-05,1.4
780,1e-07,1.67379515866046e-05,1.4
790,1e-07,1.9160388898461756e-05,1.4
800,1e-07,2.252191478290658e-05,1.4
810,1e-07,2.8290837690946217e-05,1.4
820,1e-07,3.897484812887465e-05,1.4
830,1e-07,5.820156311003188e-05,1.4
840,1e-07,9.272782619206327e-05,1.4
850,1e-07,0.0001265130591492818,1.4
860,1e-07,0.00013904938540702428,1.4
870,1e-07,0.00014470526485430704,1.4
880,1e-07,0.00014941255665739967,1.4
890,1e-07,0.00015322412300604823,1.4
900,1e-07,0.00015550797454098596,1.4
910,1e-07,0.00015486812398237207,1.4
920,1e-07,0.00015397557923932438,1.4
930,1e-07,0.0001525862760507137,1.4
940,1e-07,0.00014948597693238098,1.4
950,1e-07,0.0001463883596527261,1.4
960,1e-07,0.0001459829981413595,1.4
970,1e-07,0.00015229809560906064,1.4
980,1e-07,0.000161101953758791,1.4
990,1e-07,0.00017849958029034866,1.4
1000,1e-07,0.0002147715606961107,1.4
1010,1e-07,0.0002483398026836661,1.4
1020,1e-07,0.0002915888602720942,1.4
1030,1e-07,0.0003504450651823683,1.4
1040,1e-07,0.000510126997226877,1.4
1050,1e-07,0.0006265014810555053,1.4
1060,1e-07,0.0007109121144097698,1.4
1070,1e-07,0.0009708219008546506,1.4
1080,1e-07,0.001358303510104051,1.4
1090,1e-07,0.001814707676406666,1.4
1100,1e-07,0.003121030787476483,1.4
1110,1e-07,0.0045280373596057,1.4
1120,1e-07,0.005213955391639115,1.4
1130,1e-07,0.005529032524601037,1.4
1140,1e-07,0.00559955795886708,1.4
1150,1e-07,0.005629757784641889,1.4
1160,1e-07,0.005459671530095935,1.4
1170,1e-07,0.004980327547664925,1.4
1180,1e-07,0.004430002464442124,1.4
1190,1e-07,0.0038671138103513972,1.4
1200,1e-07,0.00334631691796165,1.4
1210,1e-07,0.0029768203685892228,1.4
1220,1e-07,0.002728213882184708,1.4
1230,1e-07,0.002519984157944153,1.4
1240,1e-07,0.0022958217344261136,1.4
1250,1e-07,0.0021263392103993027,1.4
1260,1e-07,0.00197254898727648,1.4
1270,1e-07,0.0018540068242421611,1.4
1280,1e-07,0.0017370767783646908,1.4
1290,1e-07,0.0016183476099254528,1.4
1300,1e-07,0.0015507408920654412,1.4
1310,1e-07,0.0014744728221389972,1.4
1320,1e-07,0.0014129026035523476,1.4
1330,1e-07,0.0013902892161797098,1.4
1340,1e-07,0.0013466603436326455,1.4
1350,1e-07,0.001302376581231115,1.4
1360,1e-07,0.0013021691622122544,1.4
1370,1e-07,0.001320457218294724,1.4
1380,1e-07,0.00134657336642389,1.4
1390,1e-07,0.0013774922640387797,1.4
1400,1e-07,0.0014290745914906117,1.4
1410,1e-07,0.0014806958306138422,1.4
1420,1e-07,0.0015656369027103973,1.4
1430,1e-07,0.0016797682219658774,1.4
1440,1e-07,0.0017885179071975125,1.4
1450,1e-07,0.0018928350058961022,1.4
1460,1e-07,0.0019984650284226337,1.4
1470,1e-07,0.002215365296053599,1.4
1480,1e-07,0.002430347562798826,1.4
1490,1e-07,0.0025535215869761903,1.4
1500,1e-07,0.0026066213674988785,1.4
1510,1e-07,0.00262719800994931,1.4
1520,1e-07,0.0027007948412200266,1.4
1530,1e-07,0.002821280350772892,1.4
1540,1e-07,0.0032629477142652715,1.4
1550,1e-07,0.0044700836525380355,1.4
1560,1e-07,0.007462091379019663,1.4
1570,1e-07,0.012260863612755404,1.4
1580,1e-07,0.017267189403954362,1.4
1590,1e-07,0.01984704842280077,1.4
1600,1e-07,0.027945130918399712,1.4
1610,1e-07,0.03628416365435366,1.4
1620,1e-07,0.03799482162969078,1.4
1630,1e-07,0.03923189925757882,1.4
1640,1e-07,0.038653385265182486,1.4
1650,1e-07,0.03671354043274648,1.4
1660,1e-07,0.03306570268123692,1.4
1670,1e-07,0.030570727227179923,1.4
1680,1e-07,0.02833791164469577,1.4
1690,1e-07,0.024739364753544563,1.4
1700,1e-07,0.02185512705860772,1.4
1710,1e-07,0.019514931905194318,1.4
1720,1e-07,0.01756356037350093,1.4
1730,1e-07,0.01651840026168865,1.4
1740,1e-07,0.015438471459777989,1.4
1750,1e-07,0.014046479889037709,1.4
1760,1e-07,0.01298946633074101,1.4
1770,1e-07,0.011997124781805401,1.4
1780,1e-07,0.011065032056148748,1.4
1790,1e-07,0.01038615153471379,1.4
1800,1e-07,0.009953065529415429,1.4
1810,1e-07,0.009431002615466332,1.4
1820,1e-07,0.008973985162878242,1.4
1830,1e-07,0.008655763463940064,1.4
1840,1e-07,0.008417762130242106,1.4
1850,1e-07,0.008179974417092896,1.4
1860,1e-07,0.008009861046758918,1.4
1870,1e-07,0.007874613301181197,1.4
1880,1e-07,0.007795793115279531,1.4
1890,1e-07,0.0077790013416416835,1.4
1900,1e-07,0.00781652174599417,1.4
1910,1e-07,0.007893989578573388,1.4
1920,1e-07,0.008017755582902556,1.4
1930,1e-07,0.008240860857216781,1.4
1940,1e-07,0.008627130449184615,1.4
1950,1e-07,0.009059637925385038,1.4
1960,1e-07,0.009467318458130503,1.4
1970,1e-07,0.009967942998184078,1.4
1980,1e-07,0.010506689005234817,1.4
1990,1e-07,0.011004485541705215,1.4
2000,1e-07,0.011453283120508617,1.4
2010,1e-07,0.012200253717915062,1.4
2020,1e-07,0.012964020773038525,1.4
2030,1e-07,0.014142856932278573,1.4
2040,1e-07,0.01522041542136848,1.4
2050,1e-07,0.016214041847188863,1.4
2060,1e-07,0.01765057454227295,1.4
2070,1e-07,0.018778515497796515,1.4
2080,1e-07,0.020448632554982034,1.4
2090,1e-07,0.022288171985641838,1.4
2100,1e-07,0.023872740534321587,1.4
2110,1e-07,0.026024067480977735,1.4
2120,1e-07,0.027615973388757355,1.4
2130,1e-07,0.030524828478464928,1.4
2140,1e-07,0.03362200659492714,1.4
2150,1e-07,0.03639407533159276,1.4
2160,1e-07,0.03856916354165074,1.4
2170,1e-07,0.04285628698352662,1.4
2180,1e-07,0.04655573702804995,1.4
2190,1e-07,0.0483838984091898,1.4
2200,1e-07,0.05033470325028212,1.4
2210,1e-07,0.05176366308462581,1.4
2220,1e-07,0.052951809761972994,1.4
2230,1e-07,0.05395974174056448,1.4
2240,1e-07,0.05543854843341463,1.4
2250,1e-07,0.05766278122164813,1.4
2260,1e-07,0.06095925167521002,1.4
2270,1e-07,0.06263795638344144,1.4
2280,1e-07,0.06487219242529343,1.4
2290,1e-07,0.06722158427506571,1.4
2300,1e-07,0.06963836363213578,1.4
2310,1e-07,0.07731974569252009,1.4
2320,1e-07,0.09321413900205322,1.4
2330,1e-07,0.11891194391644846,1.4
2340,1e-07,0.12767669390787786,1.4
2350,1e-07,0.1485336956916023,1.4
2360,1e-07,0.19359588349323628,1.4
2370,1e-07,0.25380601454320095,1.4
2380,1e-07,0.35527491354493257,1.4
2390,1e-07,0.3941561515125797,1.4
2400,1e-07,0.473320550013662,1.4
2410,1e-07,0.5656567100946782,1.4
2420,1e-07,0.8962401075836526,1.4
2430,1e-07,1.2074114715317665,1.4
2440,1e-07,1.4281388420333414,1.4
2450,1e-07,1.9010154655941178,1.4
2460,1e-07,2.3252702730825976,1.4
2470,1e-07,2.5686876678108983,1.4
2480,1e-07,2.9110124055278632,1.4
2490,1e-07,3.3482325170928036,1.4
2500,1e-07,3.6608642457831713,1.4
2510,1e-07,3.995798650259331,1.4
2520,1e-07,4.52960938829219,1.4
2530,1e-07,5.160507837963173,1.4
2540,1e-07,5.549095602042894,1.4
2550,1e-07,5.948539858141159,1.4
2560,1e-07,6.557986767662571,1.4
2570,1e-07,6.950773933235984,1.4
2580,1e-07,7.211963243261283,1.4
2590,1e-07,7.689097312110674,1.4
2600,1e-07,8.01553725518611,1.4
2610,1e-07,8.197008308129892,1.4
2620,1e-07,8.41022562127488,1.4
2630,1e-07,8.552679991367063,1.4
2640,1e-07,8.61508252439101,1.4
2650,1e-07,8.6727962192403,1.4
2660,1e-07,8.58156513485429,1.4
2670,1e-07,8.569614814987846,1.4
2680,1e-07,8.43953887199486,1.4
2690,1e-07,8.449391907504351,1.4
2700,1e-07,8.4844168274274,1.4
2710,1e-07,8.395774425308863,1.4
2720,1e-07,8.210228638725747,1.4
2730,1e-07,7.959948106424662,1.4
2740,1e-07,7.67721108770097,1.4
2750,1e-07,7.39249682699405,1.4
2760,1e-07,7.112807372012162,1.4
2770,1e-07,6.830866000871867,1.4
2780,1e-07,6.539623009263257,1.4
2790,1e-07,6.231296829881466,1.4
2800,1e-07,5.899620208161946,1.4
2810,1e-07,5.5502125834428755,1.4
2820,1e-07,5.193631781680033,1.4
2830,1e-07,4.84024410021434,1.4
2840,1e-07,4.501198397894065,1.4
2850,1e-07,4.186471831008938,1.4
2860,1e-07,3.897624452722406,1.4
