WL,k
0.35,8.50E-06
0.36,9.00E-06
0.37,9.00E-06
0.38,9.50E-06
0.39,1.00E-05
0.4,1.00E-05
0.41,1.00E-05
0.42,1.05E-05
0.43,1.05E-05
0.44,1.10E-05
0.45,1.10E-05
0.46,1.10E-05
0.47,1.15E-05
0.48,1.15E-05
0.49,1.20E-05
0.5,1.20E-05
0.51,1.25E-05
0.52,1.25E-05
0.53,1.30E-05
0.54,1.30E-05
0.55,1.35E-05
0.56,1.35E-05
0.57,1.40E-05
0.58,1.40E-05
0.59,1.40E-05
0.6,1.45E-05
0.61,1.45E-05
0.62,1.50E-05
0.63,1.50E-05
0.64,1.55E-05
0.65,1.55E-05
0.66,1.60E-05
0.67,1.60E-05
0.68,1.65E-05
0.69,1.70E-05
0.7,1.70E-05
0.71,1.65E-05
0.72,1.70E-05
0.73,1.70E-05
0.74,1.65E-05
0.75,1.65E-05
0.76,1.65E-05
0.77,1.60E-05
0.78,1.60E-05
0.79,1.60E-05
0.8,1.55E-05
0.81,1.60E-05
0.82,1.60E-05
0.83,1.60E-05
0.84,1.60E-05
0.85,1.60E-05
0.86,1.60E-05
0.87,1.60E-05
0.88,1.60E-05
0.89,1.60E-05
0.9,1.55E-05
0.91,1.65E-05
0.92,1.65E-05
0.93,1.65E-05
0.94,1.65E-05
0.95,1.60E-05
0.96,1.60E-05
0.97,1.60E-05
0.98,1.60E-05
0.99,1.55E-05
1,1.55E-05
1.01,1.55E-05
1.02,1.55E-05
1.03,1.55E-05
1.04,1.55E-05
1.05,1.55E-05
1.06,1.55E-05
1.07,1.55E-05
1.08,1.55E-05
1.09,1.55E-05
1.1,1.50E-05
1.11,1.50E-05
1.12,1.45E-05
1.13,1.50E-05
1.14,1.45E-05
1.15,1.45E-05
1.16,1.50E-05
1.17,1.35E-05
1.18,1.45E-05
1.19,1.40E-05
1.2,1.35E-05
1.21,1.45E-05
1.22,1.40E-05
1.23,1.40E-05
1.24,1.45E-05
1.25,1.40E-05
1.26,1.45E-05
1.27,1.45E-05
1.28,1.35E-05
1.29,1.40E-05
1.3,1.40E-05
1.31,1.35E-05
1.32,1.35E-05
1.33,1.35E-05
1.34,1.30E-05
1.35,1.30E-05
1.36,1.35E-05
1.37,1.15E-05
1.38,1.15E-05
1.39,1.15E-05
1.4,1.15E-05
1.41,1.15E-05
1.42,1.20E-05
1.43,1.15E-05
1.44,1.20E-05
1.45,1.20E-05
1.46,1.20E-05
1.47,1.20E-05
1.48,1.20E-05
1.49,1.20E-05
1.5,1.15E-05
1.51,1.15E-05
1.52,1.15E-05
1.53,1.15E-05
1.54,1.15E-05
1.55,1.15E-05
1.56,1.15E-05
1.57,1.15E-05
1.58,1.15E-05
1.59,1.15E-05
1.6,1.15E-05
1.61,1.15E-05
1.62,1.10E-05
1.63,1.10E-05
1.64,1.10E-05
1.65,1.10E-05
1.66,1.10E-05
1.67,1.05E-05
1.68,1.05E-05
1.69,1.05E-05
1.7,1.00E-05
1.71,1.00E-05
1.72,1.00E-05
1.73,1.00E-05
1.74,1.00E-05
1.75,1.05E-05
1.76,1.05E-05
1.77,1.05E-05
1.78,1.05E-05
1.79,1.05E-05
1.8,1.05E-05
1.81,1.05E-05
1.82,1.00E-05
1.83,1.00E-05
1.84,1.00E-05
1.85,1.00E-05
1.86,1.00E-05
1.87,1.00E-05
1.88,1.00E-05
1.89,1.00E-05
1.9,1.00E-05
1.91,1.00E-05
1.92,1.00E-05
1.93,1.00E-05
1.94,1.00E-05
1.95,1.00E-05
1.96,1.00E-05
1.97,1.00E-05
1.98,1.00E-05
1.99,9.50E-06
2,9.50E-06
2.01,9.50E-06
2.02,9.00E-06
2.03,9.00E-06
2.04,9.00E-06
2.05,8.50E-06
2.06,8.50E-06
2.07,8.50E-06
2.08,8.50E-06
2.09,8.50E-06
2.1,8.50E-06
2.11,8.50E-06
2.12,8.00E-06
2.13,8.00E-06
2.14,8.00E-06
2.15,8.00E-06
2.16,8.50E-06
2.17,8.50E-06
2.18,9.00E-06
2.19,9.00E-06
2.2,9.00E-06
2.21,9.00E-06
2.22,9.50E-06
2.23,9.00E-06
2.24,9.00E-06
2.25,9.00E-06
2.26,9.00E-06
2.27,9.00E-06
2.28,9.00E-06
2.29,9.00E-06
2.3,9.00E-06
2.31,8.50E-06
2.32,8.50E-06
2.33,8.50E-06
2.34,8.50E-06
2.35,8.50E-06
2.36,8.50E-06
2.37,8.50E-06
2.38,8.50E-06
2.39,8.50E-06
2.4,8.50E-06
2.41,8.50E-06
2.42,8.50E-06
2.43,8.50E-06
2.44,8.50E-06
2.45,8.50E-06
2.46,8.50E-06
2.47,8.50E-06
2.48,8.50E-06
2.49,8.50E-06
2.5,8.50E-06
