,WL,Imag,Real
0,300,2.419572608815293,1.4
1,310,2.500225028611531,1.4
2,320,2.5808774486161687,1.4
3,330,2.6615298686476065,1.4
4,340,2.742182288657604,1.4
5,350,2.791654515880951,1.4
6,360,2.591593438833297,1.4
7,370,2.429972636518693,1.4
8,380,2.3224435354894797,1.4
9,390,2.1802326960333027,1.4
10,400,1.9761449533281423,1.4
11,410,1.7743089162552603,1.4
12,420,1.5994453007772322,1.4
13,430,1.4644196027536256,1.4
14,440,1.335487789862148,1.4
15,450,1.1913235553695645,1.4
16,460,1.0765896730224869,1.4
17,470,0.9575719224680652,1.4
18,480,0.8720129113619937,1.4
19,490,0.8102294248203272,1.4
20,500,0.7364693601280253,1.4
21,510,0.6671078939479951,1.4
22,520,0.6330118136955502,1.4
23,530,0.6039264600397715,1.4
24,540,0.6155207850086918,1.4
25,550,0.5790746714812323,1.4
26,560,0.559972682530723,1.4
27,570,0.5350700122546123,1.4
28,580,0.4994163047961713,1.4
29,590,0.4629322153783903,1.4
30,600,0.4190605586483934,1.4
31,610,0.37057613770978737,1.4
32,620,0.33559686742540157,1.4
33,630,0.29607963226079115,1.4
34,640,0.263945333104875,1.4
35,650,0.2276006912055054,1.4
36,660,0.2157726748493446,1.4
37,670,0.22290113651249804,1.4
38,680,0.1851575105387381,1.4
39,690,0.12973455874109968,1.4
40,700,0.1005717460802424,1.4
41,710,0.08061418544146629,1.4
42,720,0.053738616162186725,1.4
43,730,0.032243075590775036,1.4
44,740,0.019853079198315655,1.4
45,750,1.2642370593778761e-07,1.4
46,760,1.259840220169581e-07,1.4
47,770,1.1784033809612861e-07,1.4
48,780,1.0733665417529913e-07,1.4
49,790,1.0044897025446962e-07,1.4
50,800,1.0129728633364013e-07,1.4
51,810,1.1639360241281063e-07,1.4
52,820,1.490499184919811e-07,1.4
53,830,1.7715423457115162e-07,1.4
54,840,2.1398655065032212e-07,1.4
55,850,2.5192286672949264e-07,1.4
56,860,2.8370718280866313e-07,1.4
57,870,3.125874988878337e-07,1.4
58,880,3.3842781496700416e-07,1.4
59,890,3.682041310461746e-07,1.4
60,900,4.081724471253451e-07,1.4
61,910,5.516287632045157e-07,1.4
62,920,8.645090792836862e-07,1.4
63,930,1.3923493953628568e-06,1.4
64,940,2.095469711442027e-06,1.4
65,950,2.552030027521198e-06,1.4
66,960,2.7613103436003686e-06,1.4
67,970,2.784030659679539e-06,1.4
68,980,2.6585109757587096e-06,1.4
69,990,2.5140312918378796e-06,1.4
70,1000,2.26107160791705e-06,1.4
71,1010,2.0191519239962207e-06,1.4
72,1020,1.760112240075391e-06,1.4
73,1030,1.4686725561545617e-06,1.4
74,1040,1.2351528722337322e-06,1.4
75,1050,1.0709931883129025e-06,1.4
76,1060,1.0109935043920732e-06,1.4
77,1070,1.0293138204712438e-06,1.4
78,1080,1.1395541365504144e-06,1.4
79,1090,1.2933144526295846e-06,1.4
80,1100,1.5073147687087554e-06,1.4
81,1110,1.877475084787926e-06,1.4
82,1120,2.5649154008670964e-06,1.4
83,1130,3.798515716946267e-06,1.4
84,1140,6.0021960330254375e-06,1.4
85,1150,8.122436349104608e-06,1.4
86,1160,8.855236665183779e-06,1.4
87,1170,9.141636981262947e-06,1.4
88,1180,9.364037297342119e-06,1.4
89,1190,9.527237613421291e-06,1.4
90,1200,9.593637929500462e-06,1.4
91,1210,9.480038245579632e-06,1.4
92,1220,9.352838561658803e-06,1.4
93,1230,9.197638877737973e-06,1.4
94,1240,8.942439193817143e-06,1.4
95,1250,8.691239509896313e-06,1.4
96,1260,8.602439825975484e-06,1.4
97,1270,8.908040142054653e-06,1.4
98,1280,9.353640458133823e-06,1.4
99,1290,1.0288040774212994e-05,1.4
100,1300,1.2288841090292168e-05,1.4
101,1310,1.4107241406371337e-05,1.4
102,1320,1.6445641722450507e-05,1.4
103,1330,1.962484203852968e-05,1.4
104,1340,2.8365642354608852e-05,1.4
105,1350,3.459284267068802e-05,1.4
106,1360,3.898084298676719e-05,1.4
107,1370,5.286484330284637e-05,1.4
